LineageTaxIDs,Lineage,Organism,Phylum,Class,Order,Family,Genus,Predictors,Replicon,nuoA,nuoB,nuoC,nuoD,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,TotalSubunits
197,Campylobacter jejuni,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13
197,Campylobacter jejuni,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
294,Pseudomonas fluorescens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
294,Pseudomonas fluorescens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
294,Pseudomonas fluorescens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
339,Xanthomonas campestris,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
339,Xanthomonas campestris,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
339,Xanthomonas campestris,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
28901,Salmonella enterica,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
28901,Salmonella enterica,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
28901,Salmonella enterica,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
1280,Staphylococcus aureus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,1,0,1,0,1,1,1,1,7
1280,Staphylococcus aureus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,1,0,1,1,1,1,1,1,8
1280,Staphylococcus aureus,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,OurProteins+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
1282,Staphylococcus epidermidis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,0,0,1,0,1,1,1,1,6
1282,Staphylococcus epidermidis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
1282,Staphylococcus epidermidis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
1358,Lactococcus lactis,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4
1358,Lactococcus lactis,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,0,0,0,1,0,1,0,0,1,4
1396,Bacillus cereus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1396,Bacillus cereus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1396,Bacillus cereus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,1,1,0,0,0,1,0,0,1,0,1,0,0,1,6
1502,Clostridium perfringens,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,OurProteins+HMMER; COGs+HMMER,undefined,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4
1502,Clostridium perfringens,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,0,1,0,0,1,6
1639,Listeria monocytogenes,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
1639,Listeria monocytogenes,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
1639,Listeria monocytogenes,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,1,1,1,0,1,0,1,1,1,1,8
1764,Mycobacterium avium,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1764,Mycobacterium avium,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1764,Mycobacterium avium,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,1,0,0,0,0,0,1,1,1,1,1,1,1,1,9
1773,Mycobacterium tuberculosis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1773,Mycobacterium tuberculosis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
2039,Tropheryma whipplei,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Tropherymataceae,Tropheryma,OurProteins+HMMER; COGs+HMMER,undefined,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
715,Actinobacillus pleuropneumoniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,1,0,1,0,1,0,0,1,5
715,Actinobacillus pleuropneumoniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,1,0,1,0,1,0,0,1,5
715,Actinobacillus pleuropneumoniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1219,Prochlorococcus marinus,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13
1219,Prochlorococcus marinus,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13
727,Haemophilus influenzae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,1,0,1,1,1,0,1,1,7
727,Haemophilus influenzae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,1,0,1,1,1,0,1,1,7
562,Escherichia coli,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
562,Escherichia coli,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
562,Escherichia coli,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,1,1,1,1,1,1,1,1,1,9
210,Helicobacter pylori,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
210,Helicobacter pylori,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
9,Buchnera aphidicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
9,Buchnera aphidicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
83558,Chlamydia pneumoniae,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,OurProteins+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
83558,Chlamydia pneumoniae,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,OurProteins+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
487,Neisseria meningitidis,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
487,Neisseria meningitidis,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
2371,Xylella fastidiosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
2371,Xylella fastidiosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
2371,Xylella fastidiosa,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
303,Pseudomonas putida,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
303,Pseudomonas putida,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
303,Pseudomonas putida,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,1,0,1,0,0,1,1,1,1,1,7
1314,Streptococcus pyogenes,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,0,0,1,0,1,0,1,0,4
1314,Streptococcus pyogenes,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,0,0,0,1,1,0,1,0,4
1313,Streptococcus pneumoniae,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,0,0,1,0,1,1,6
1313,Streptococcus pneumoniae,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,0,1,0,0,1,1,0,1,1,6
358,Agrobacterium tumefaciens,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,OurGenes+HMMER,undefined,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
358,Agrobacterium tumefaciens,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
358,Agrobacterium tumefaciens,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,1,0,1,0,1,1,1,0,1,1,7
53413,Xanthomonas axonopodis,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
53413,Xanthomonas axonopodis,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
53413,Xanthomonas axonopodis,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
173,Leptospira interrogans,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
173,Leptospira interrogans,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
851,Fusobacterium nucleatum,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,OurProteins+HMMER; COGs+HMMER,undefined,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
851,Fusobacterium nucleatum,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,OurProteins+HMMER; COGs+HMMER,chromosome,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
1392,Bacillus anthracis,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,0,0,1,1,1,1,1,1,1,1,12
